date,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph
1/16/2014,28,4,28
1/17/2014,28,6,28
1/18/2014,14,4,28
1/19/2014,14,5,28
1/20/2014,14,4,28
1/21/2014,14,5,14
1/22/2014,14,5,14
1/23/2014,14,5,14
1/24/2014,14,6,28
1/25/2014,14,3,28
1/26/2014,14,3,14
1/27/2014,14,3,14
1/28/2014,14,4,14
1/29/2014,14,2,14
1/30/2014,14,3,14
1/31/2014,15,6,19
2/1/2014,14,6,114
2/2/2014,23,7,114
2/3/2014,16,3,18
2/4/2014,14,2,14
2/5/2014,14,3,14
2/6/2014,21,5,86
2/7/2014,20,5,24
2/8/2014,20,7,25
2/9/2014,14,4,16
2/10/2014,14,2,14
2/11/2014,10,1,14
2/12/2014,14,2,14
2/13/2014,114,2,114
2/14/2014,14,2,15
2/15/2014,14,1,14
2/16/2014,14,4,14
2/17/2014,14,5,15
2/18/2014,14,5,16
2/19/2014,114,6,114
2/20/2014,14,4,14
2/21/2014,14,2,14
2/22/2014,14,2,14
2/23/2014,14,2,14
2/24/2014,14,3,14
2/25/2014,14,4,17
2/26/2014,28,8,86
2/27/2014,28,10,28
2/28/2014,20,6,86
8/29/2013,16,7,24
8/30/2013,18,5,22
8/31/2013,18,8,22
9/1/2013,20,7,24
9/2/2013,21,8,25
9/3/2013,18,8,24
9/4/2013,22,8,29
9/5/2013,23,8,30
9/6/2013,17,5,22
9/7/2013,18,6,22
9/8/2013,13,5,15
9/9/2013,16,5,21
9/10/2013,16,7,24
9/11/2013,17,8,21
9/12/2013,18,6,22
9/13/2013,18,8,21
9/14/2013,14,8,18
9/15/2013,18,8,24
9/16/2013,22,8,28
9/17/2013,25,8,30
9/18/2013,20,6,23
9/19/2013,18,6,22
9/20/2013,18,7,28
9/21/2013,20,7,28
9/22/2013,22,7,25
9/23/2013,20,6,25
9/24/2013,25,10,30
9/25/2013,24,12,29
9/26/2013,18,8,23
9/27/2013,18,5,23
9/28/2013,21,6,24
9/29/2013,16,6,21
9/30/2013,16,7,24
10/1/2013,17,5,22
10/2/2013,21,6,24
10/3/2013,23,10,28
10/4/2013,18,6,28
10/5/2013,13,3,15
10/6/2013,13,4,15
10/7/2013,17,5,20
10/8/2013,16,6,26
10/9/2013,14,6,20
10/10/2013,16,7,
10/11/2013,16,5,18
10/12/2013,18,5,24
10/13/2013,18,6,23
10/14/2013,13,4,
10/15/2013,17,5,21
10/16/2013,15,3,17
10/17/2013,15,4,17
10/18/2013,12,3,14
10/19/2013,10,2,15
10/20/2013,10,3,13
10/21/2013,9,3,14
10/22/2013,10,3,13
10/23/2013,13,4,15
10/24/2013,10,2,13
10/25/2013,10,2,13
10/26/2013,12,2,17
10/27/2013,28,8,35
10/28/2013,20,8,25
10/29/2013,14,6,17
10/30/2013,17,5,22
10/31/2013,9,4,
11/1/2013,10,2,12
11/2/2013,16,6,23
11/3/2013,21,7,23
11/4/2013,17,6,22
11/5/2013,15,6,21
11/6/2013,9,2,13
11/7/2013,16,3,17
11/8/2013,13,3,15
11/9/2013,14,3,16
11/10/2013,12,4,14
11/11/2013,7,2,16
11/12/2013,13,3,16
11/13/2013,12,3,13
11/14/2013,14,4,16
11/15/2013,15,4,18
11/16/2013,17,6,22
11/17/2013,13,4,15
11/18/2013,13,5,16
11/19/2013,13,8,15
11/20/2013,23,9,29
11/21/2013,18,8,28
11/22/2013,18,7,22
11/23/2013,9,2,12
11/24/2013,10,3,13
11/25/2013,9,2,12
11/26/2013,8,1,12
11/27/2013,10,2,13
11/28/2013,9,3,12
11/29/2013,12,2,13
11/30/2013,10,3,13
12/1/2013,12,3,17
12/2/2013,18,4,22
12/3/2013,21,10,28
12/4/2013,12,4,24
12/5/2013,10,3,13
12/6/2013,15,6,18
12/7/2013,25,10,31
12/8/2013,14,4,20
12/9/2013,9,3,10
12/10/2013,7,1,8
12/11/2013,10,1,12
12/12/2013,8,1,8
12/13/2013,10,2,13
12/14/2013,9,1,12
12/15/2013,7,1,8
12/16/2013,6,1,10
12/17/2013,8,1,9
12/18/2013,14,3,18
12/19/2013,18,7,21
12/20/2013,13,3,16
12/21/2013,14,3,17
12/22/2013,15,3,17
12/23/2013,10,2,12
12/24/2013,10,3,13
12/25/2013,7,2,8
12/26/2013,7,2,9
12/27/2013,14,1,15
12/28/2013,13,3,15
12/29/2013,7,2,10
12/30/2013,7,2,
12/31/2013,15,2,16
1/1/2014,8,1,10
1/2/2014,8,1,13
1/3/2014,8,2,10
1/4/2014,8,3,12
1/5/2014,6,1,8
1/6/2014,9,1,12
1/7/2014,10,3,12
1/8/2014,14,5,16
1/9/2014,18,4,21
1/10/2014,8,2,13
1/11/2014,20,3,24
1/12/2014,17,6,22
1/13/2014,9,3,14
1/14/2014,17,3,24
1/15/2014,9,2,12
1/16/2014,8,1,10
1/17/2014,8,2,10
1/18/2014,7,1,12
1/19/2014,8,1,14
1/20/2014,7,1,10
1/21/2014,8,2,10
1/22/2014,9,3,13
1/23/2014,13,2,14
1/24/2014,6,1,8
1/25/2014,7,2,12
1/26/2014,10,4,14
1/27/2014,10,2,13
1/28/2014,16,4,22
1/29/2014,16,4,20
1/30/2014,14,8,
1/31/2014,17,6,20
2/1/2014,13,4,16
2/2/2014,28,10,36
2/3/2014,18,6,26
2/4/2014,14,5,17
2/5/2014,14,5,17
2/6/2014,23,10,28
2/7/2014,26,10,35
2/8/2014,22,13,29
2/9/2014,17,10,23
2/10/2014,14,5,16
2/11/2014,14,3,17
2/12/2014,12,3,14
2/13/2014,13,4,15
2/14/2014,12,4,14
2/15/2014,18,6,23
2/16/2014,14,5,23
2/17/2014,16,6,20
2/18/2014,20,4,24
2/19/2014,21,8,23
2/20/2014,16,4,17
2/21/2014,15,4,17
2/22/2014,14,5,17
2/23/2014,16,3,20
2/24/2014,15,3,18
2/25/2014,14,6,16
2/26/2014,29,13,40
2/27/2014,26,10,36
