date,min_temperature_f,min_dew_point_f,min_humidity
4/20/2014,50,44,33
4/21/2014,50,41,43
4/22/2014,52,36,37
4/23/2014,45,35,39
4/24/2014,51,47,56
4/25/2014,52,43,61
4/26/2014,44,39,44
4/27/2014,52,43,48
4/28/2014,47,43,40
4/29/2014,50,43,24
4/30/2014,57,42,25
5/1/2014,57,34,17
5/2/2014,53,50,49
5/3/2014,54,48,52
5/4/2014,57,49,52
5/5/2014,55,43,48
5/6/2014,52,41,44
5/7/2014,51,43,44
5/8/2014,54,45,62
5/9/2014,55,44,42
5/10/2014,51,38,34
5/11/2014,53,32,23
5/12/2014,50,38,23
5/13/2014,56,35,19
5/14/2014,59,38,18
5/15/2014,57,41,25
5/16/2014,55,49,47
5/17/2014,55,50,56
5/18/2014,56,46,47
5/19/2014,56,48,52
5/20/2014,55,47,47
5/21/2014,55,48,53
5/22/2014,54,48,55
5/23/2014,54,48,58
5/24/2014,55,48,56
5/25/2014,56,48,44
5/26/2014,51,47,53
5/27/2014,54,45,45
5/28/2014,49,36,30
5/29/2014,51,40,27
5/30/2014,53,47,56
5/31/2014,53,48,53
6/1/2014,51,48,49
6/2/2014,52,48,56
6/3/2014,52,48,52
6/4/2014,52,48,53
6/5/2014,52,48,58
6/6/2014,53,50,58
6/7/2014,56,50,55
6/8/2014,53,49,32
6/9/2014,58,53,53
6/10/2014,57,52,59
6/11/2014,58,51,53
6/12/2014,55,48,56
6/13/2014,55,48,47
6/14/2014,53,48,36
6/15/2014,54,48,52
6/16/2014,56,46,56
6/17/2014,50,43,35
6/18/2014,53,46,28
6/19/2014,52,48,53
6/20/2014,54,49,46
6/21/2014,53,48,56
6/22/2014,54,48,56
6/23/2014,55,47,51
6/24/2014,54,48,58
6/25/2014,57,53,68
6/26/2014,59,53,57
6/27/2014,57,53,66
6/28/2014,57,52,57
6/29/2014,54,50,37
6/30/2014,57,52,42
7/1/2014,56,53,53
7/2/2014,57,53,57
7/3/2014,54,52,55
7/4/2014,54,51,58
7/5/2014,53,51,53
7/6/2014,53,51,53
7/7/2014,54,52,59
7/8/2014,57,54,63
7/9/2014,57,54,61
7/10/2014,60,54,57
7/11/2014,61,52,53
7/12/2014,58,53,57
7/13/2014,58,53,61
7/14/2014,57,52,53
7/15/2014,59,55,56
7/16/2014,62,56,57
7/17/2014,63,55,57
7/18/2014,63,55,61
7/19/2014,62,55,57
7/20/2014,62,57,61
7/21/2014,63,56,57
7/22/2014,63,55,50
7/23/2014,63,56,57
7/24/2014,62,54,42
7/25/2014,60,45,22
